signaling,signaling,275.16,275.78
pathway,pathway,275.78,276.46
that,that,276.72,276.96
controls,controls,276.96,277.64
how,how,277.65,278.03
cancer,cancer,278.07,278.49
cells,cells,278.49,278.82
communicate,communicate,278.82,279.59
with,with,279.59,279.78
each,each,279.78,280.01
other,other,280.01,280.4
and,and,280.679999,280.909999
move,move,280.92,281.5
based,based,281.78,282.19
on,on,282.2,282.41
their,their,282.41,282.59
cell,cell,282.59,282.81
density,density,282.82,283.57
Some,some,284.929999,285.149999
of,of,285.15,285.3
you,you,285.299999,285.479999
might,might,285.49,285.69
have,have,285.69,285.87
heard,heard,285.87,286.18
this,this,286.18,286.52
because,because,286.58,287.17
most,most,287.25,287.58
of,of,287.58,287.7
social,social,287.699999,288.079999
media,media,288.08,288.56
knows,knows,288.59,288.88
it,it,288.879999,289.099999
as,as,289.309999,289.539999
the,the,289.54,289.68
Hasini,<unk>,289.68,290.14
effect,effect,290.14,290.63
Laughter,laughter,293.76,293.81
Applause,applause,293.81,293.86
And,and,300.849999,301.039999
we,we,301.04,301.16
weren't,weren't,301.16,301.49
done,done,301.54,301.8
yet,yet,301.8,302.04
We,we,302.42,302.79
then,then,302.809999,303.099999
decided,decided,303.099999,303.799999
that,that,303.82,304.02
we,we,304.029999,304.179999
wanted,wanted,304.18,304.49
to,to,304.49,304.56
block,block,304.559999,304.979999
this,this,304.98,305.17
signaling,signaling,305.17,305.69
pathway,pathway,305.690001,306.330001
and,and,306.61,306.83
see,see,306.83,307.03
if,if,307.039999,307.189999
we,we,307.19,307.31
could,could,307.31,307.52
slow,slow,307.52,307.87
down,down,307.87,308.22
the,the,308.22,308.33
spread,spread,308.33,308.58
of,of,308.58,308.72
cancer,cancer,308.72,309.3
Which,which,309.83,310.07
we,we,310.07,310.18
did,did,310.18,310.58
in,in,310.66,310.86
preclinical,<unk>,310.86,311.47
animal,animal,311.51,311.85
models,models,311.91,312.53
We,we,313,313.22
came,came,313.22,313.54
up,up,313.54,313.72
with,with,313.72,313.91
a,a,313.91,313.96
drug,drug,313.96,314.27
cocktail,cocktail,314.27,314.93
consisting,consisting,315.01,315.71
of,of,315.73,316
tocilizumab,<unk>,316.03,317.05
which,which,317.11,317.3
is,is,317.3,317.44
currently,currently,317.44,317.87
used,used,317.87,318.15
to,to,318.15,318.21
treat,treat,318.21,318.47
rheumatoid,rheumatoid,318.469999,318.989999
arthritis,arthritis,318.99,319.82
and,and,320.139999,320.279999
reparixin,<unk>,321.19,321.2
which,which,321.24,321.45
is,is,321.45,321.6
currently,currently,321.599999,322.299999
in,in,322.5,322.73
clinical,clinical,322.73,323.17
trials,trials,323.17,323.62
against,against,323.66,324.08
breast,breast,324.08,324.37
cancer,cancer,324.37,324.84
And,and,325.64,325.85
interestingly,interestingly,325.88,326.94
what,what,326.95,327.27
we,we,327.27,327.44
found,found,327.44,327.85
was,was,327.85,328.29
that,that,328.39,328.68
this,this,328.7,328.97
cocktail,cocktail,329,329.62
of,of,329.62,329.76
drugs,drugs,329.76,330.22
really,really,330.61,331.13
had,had,331.13,331.45
no,no,331.46,331.71
effect,effect,331.71,332.13
on,on,332.13,332.29
tumor,tumor,332.32,332.66
growth,growth,332.66,333.07
but,but,333.139999,333.399999
directly,directly,333.4,334.08
targeted,targeted,334.08,334.69
metastases,<unk>,334.69,335.72
This,this,336.59,337.28
was,was,337.33,337.55
a,a,337.549999,337.619999
significant,significant,337.62,338.47
finding,finding,338.469999,339.009999
because,because,339.36,339.75
currently,currently,339.75,340.63
there,there,340.67,340.97
aren't,aren't,341.049999,341.439999
any,any,341.48,341.79
FDA,<unk>,341.84,342.38
approved,approved,342.379999,342.729999
therapeutics,<unk>,342.73,343.6
that,that,343.63,343.85
directly,directly,343.85,344.46
target,target,344.46,344.94
the,the,344.95,345.06
spread,spread,345.06,345.32
of,of,345.32,345.47
cancer,cancer,345.47,346.03
In,in,346.7,346.94
fact,fact,346.94,347.46
the,the,347.52,347.68
spread,spread,347.68,347.94
of,of,347.94,348.07
cancer,cancer,348.07,348.64
metastasis,<unk>,348.94,349.81
is,is,350.22,350.43
thought,thought,350.429999,350.689999
of,of,350.69,350.84
as,as,350.87,351.04
a,a,351.04,351.13
byproduct,byproduct,351.139999,352.129999
of,of,352.179999,352.399999
tumor,tumor,352.4,352.75
growth,growth,352.75,353.34
Where,where,353.7,353.94
the,the,353.94,354.06
idea,idea,354.059999,354.559999
is,is,354.559999,355.059999
if,if,355.25,355.49
we,we,355.49,355.64
can,can,355.639999,355.859999
stop,stop,355.87,356.17
the,the,356.19,356.3
tumor,tumor,356.299999,356.619999
from,from,356.62,356.83
growing,growing,356.83,357.31
we,we,357.53,357.7
can,can,357.7,357.89
stop,stop,357.889999,358.269999
the,the,358.309999,358.429999
tumor,tumor,358.43,358.7
from,from,359.02,359.11
spreading,spreading,359.109999,359.619999
However,however,360.27,361
